ano,premiacao,jogo,status
2003,Spike Video Game Awards,Madden NFL 2004,Vencedor
2003,Spike Video Game Awards,Freedom Fighters,Indicado
2003,Spike Video Game Awards,Grand Theft Auto: Vice City,Indicado
2003,Spike Video Game Awards,Legend of Zelda: The Wind Waker,Indicado
2003,Spike Video Game Awards,SOCOM II U.S. Navy SEALs,Indicado
2003,Spike Video Game Awards,SSX 3,Indicado
2003,Spike Video Game Awards,Star Wars Galaxies,Indicado
2003,Spike Video Game Awards,Star Wars: Knights of the Old Republic,Indicado
2003,Spike Video Game Awards,Tom Clancy's Splinter Cell,Indicado
2003,Spike Video Game Awards,Tony Hawk's Underground,Indicado
2004,Spike Video Game Awards,Grand Theft Auto: San Andreas,Vencedor
2004,Spike Video Game Awards,Burnout 3: Takedown,Indicado
2004,Spike Video Game Awards,Half-Life 2,Indicado
2004,Spike Video Game Awards,Halo 2,Indicado
2004,Spike Video Game Awards,Metal Gear Solid 3: Snake Eater,Indicado
2005,Spike Video Game Awards,Resident Evil 4,Vencedor
2005,Spike Video Game Awards,Call of Duty 2,Indicado
2005,Spike Video Game Awards,F.E.A.R.,Indicado
2005,Spike Video Game Awards,God of War,Indicado
2005,Spike Video Game Awards,World of Warcraft,Indicado
2006,Spike Video Game Awards,The Elder Scrolls IV: Oblivion,Vencedor
2006,Spike Video Game Awards,Gears of War,Indicado
2006,Spike Video Game Awards,Guitar Hero 2,Indicado
2006,Spike Video Game Awards,Ōkami,Indicado
2006,Spike Video Game Awards,Tom Clancy's Ghost Recon Advanced Warfighter,Indicado
2007,Spike Video Game Awards,BioShock,Vencedor
2007,Spike Video Game Awards,Halo 3,Indicado
2007,Spike Video Game Awards,Mass Effect,Indicado
2007,Spike Video Game Awards,The Orange Box,Indicado
2008,Spike Video Game Awards,Grand Theft Auto IV,Vencedor
2008,Spike Video Game Awards,Fallout 3,Indicado
2008,Spike Video Game Awards,Gears of War 2,Indicado
2008,Spike Video Game Awards,LittleBigPlanet,Indicado
2008,Spike Video Game Awards,Metal Gear Solid 4: Guns of the Patriots,Indicado
2009,Spike Video Game Awards,Uncharted 2: Among Thieves,Vencedor
2009,Spike Video Game Awards,Assassin's Creed II,Indicado
2009,Spike Video Game Awards,Batman: Arkham Asylum,Indicado
2009,Spike Video Game Awards,Call of Duty: Modern Warfare 2,Indicado
2009,Spike Video Game Awards,Left 4 Dead 2,Indicado
2010,Spike Video Game Awards,Red Dead Redemption,Vencedor
2010,Spike Video Game Awards,Call of Duty: Black Ops,Indicado
2010,Spike Video Game Awards,God of War III,Indicado
2010,Spike Video Game Awards,Halo: Reach,Indicado
2010,Spike Video Game Awards,Mass Effect 2,Indicado
2011,Spike Video Game Awards,The Elder Scrolls V: Skyrim,Vencedor
2011,Spike Video Game Awards,Batman: Arkham City,Indicado
2011,Spike Video Game Awards,The Legend of Zelda: Skyward Sword,Indicado
2011,Spike Video Game Awards,Portal 2,Indicado
2011,Spike Video Game Awards,Uncharted 3: Drake's Deception,Indicado
2012,Spike Video Game Awards,The Walking Dead,Vencedor
2012,Spike Video Game Awards,Assassin's Creed III,Indicado
2012,Spike Video Game Awards,Dishonored,Indicado
2012,Spike Video Game Awards,Journey,Indicado
2012,Spike Video Game Awards,Mass Effect 3,Indicado
2013,VGX,Grand Theft Auto V,Vencedor
2013,VGX,BioShock Infinite,Indicado
2013,VGX,Super Mario 3D World,Indicado
2013,VGX,The Last of Us,Indicado
2013,VGX,Tomb Raider,Indicado
2014,The Game Awards,Dragon Age: Inquisition,Vencedor
2014,The Game Awards,Bayonetta 2,Indicado
